SHIP'S NAME,COUNTRY,DWT,LBP,B,D,d,Air_d,Vs,L/B,L/D,B/D,B/d,L/d,d/D,Fn
IRAN HENGAM,IRAN,300000,320,58,31,21,10,8.12752,5.517241379,10.32258065,1.870967742,2.761904762,15.23809524,0.677419355,0.145060294
DESH BHAKT,INDIA,110000,234,42,22.6,15.5,7.1,7.2016,5.571428571,10.3539823,1.85840708,2.709677419,15.09677419,0.685840708,0.150309546
ZIRKU,KUWAIT,105000,234,42,21,13.6,7.4,7.4588,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.155677744
DESH PREM,INDIA,110000,234,42,22.6,15.5,7.1,7.2016,5.571428571,10.3539823,1.85840708,2.709677419,15.09677419,0.685840708,0.150309546
DESH RAKSHAK,INDIA,110000,234,42,22.6,15.5,7.1,7.2016,5.571428571,10.3539823,1.85840708,2.709677419,15.09677419,0.685840708,0.150309546
IRAN HARSIN,IRAN,300000,320,58,31,21,10,8.12752,5.517241379,10.32258065,1.870967742,2.761904762,15.23809524,0.677419355,0.145060294
ALBUM,KUWAIT,105000,234,42,21,13.6,7.4,7.4588,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.155677744
MARATHA,GREECE,105000,234,42,21,13.6,7.4,7.51024,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.156751384
CAPRICORN STAR,SAUDI ARABIA,317000,319,60,30.5,21.5,9,7.51024,5.316666667,10.45901639,1.967213115,2.790697674,14.8372093,0.704918033,0.134252991
KRASNODAR,RUSSIA,115000,239,44,21,14.9,6.1,7.76744,5.431818182,11.38095238,2.095238095,2.953020134,16.04026846,0.70952381,0.160414807
