SHIP'S NAME,COUNTRY,DWT,LBP,B,D,d,Air_d,Vs,L/B,L/D,B/D,B/d,L/d,d/D,Fn
Hc Elida,Germany,37345,176.0800018,27.34000015,16.70000076,11.21700001,5.48300075,7.9732,6.440380426,10.5437122,1.637125683,2.437371858,15.697602,0.671676617,0.191841754
Feisty Gas,Panama,3409,93.68000031,17.5,7.5,5.449999809,2.050000191,7.4588,5.353142875,12.49066671,2.333333333,3.211009287,17.18899148,0.726666641,0.246043002
Global Saturn,Panama,7786,104,18.60000038,9.600000381,7.013999939,2.586000442,6.892959805,5.591397735,10.8333329,1.937499963,2.651839256,14.82748801,0.730624965,0.215801556
Global Mars,Panama,7786,104,18.60000038,9.600000381,7.013999939,2.586000442,6.892959805,5.591397735,10.8333329,1.937499963,2.651839256,14.82748801,0.730624965,0.215801556
Angimar,Italy,5841,93.30000305,16.79999924,7.400000095,6.199999809,1.200000286,6.6872,5.553571861,12.60810836,2.270270138,2.70967738,15.04838805,0.837837801,0.221039037
Else Marie Theresa,Denmark,4307,88.59999847,14.22399998,7.650000095,6.090000153,1.559999942,6.6872,6.228908788,11.581699,1.85934638,2.335632122,14.54843945,0.796078441,0.226826061
Coral Favia,Panama,4314,93.5,17,8.199999809,5.81400013,2.385999679,7.2016,5.5,11.40243929,2.07317078,2.923976543,16.08187099,0.709024423,0.237787317
Bougainville,Switzerland,4867,93.5,17.5,7.800000191,6.163000107,1.637000084,7.355920098,5.342857143,11.98717919,2.243589689,2.839526155,15.1711826,0.790128199,0.242882763
Loex,Panama,6625,112.5,18.20000076,8.399999619,6.464000225,1.935999394,7.716,6.181318423,13.39285775,2.166666855,2.815594079,17.40408355,0.769523871,0.232263761
Asprella,United Kingdom,10005,121.4000015,19.70000076,9.350000381,6.800000191,2.55000019,6.6872,6.162436387,12.98395685,2.106951867,2.897058854,17.8529409,0.727272718,0.193776212
Haydock,Panama,4313,93.5,17,8.199999809,5.81400013,2.385999679,7.4588,5.5,11.40243929,2.07317078,2.923976543,16.08187099,0.709024423,0.246279721
Kerfons,France,8067,107,21.39999962,8.5,6.010000229,2.489999771,6.584320098,5.000000089,12.58823529,2.517647014,3.560731914,17.80365989,0.70705885,0.203228468
Lady Mathilde,Panama,3856,89.90000153,16.02799988,7.199999809,5.413000107,1.786999702,6.738640195,5.608934502,12.48611165,2.226111153,2.961019687,16.60816548,0.75180559,0.226912236
Kyokuhou Maru,Japan,5565,98,15.62300014,8.149999619,6.75,1.399999619,6.9444,6.272802863,12.02454044,1.916932622,2.314518539,14.51851852,0.828220898,0.223968627
North Defiance,Panama,17396,127.6999969,22.79999924,12.5,9.664999962,2.835000038,7.2016,5.600877244,10.21599975,1.823999939,2.359027349,13.2126226,0.773199997,0.203469374
Oriental Wisteria,Panama,12499,115.9499969,20,11.19999981,8.753000259,2.446999551,6.6872,5.797499845,10.35267847,1.785714316,2.284930813,13.24688604,0.781517894,0.198277958
Dl Camellia,Korea (South),3856,89.90000153,16,7.199999809,5.413000107,1.786999702,7.047279902,5.618750096,12.48611165,2.222222281,2.955846976,16.60816548,0.75180559,0.237305152
Anette Kosan,Denmark,3844,89.90000153,16.03000069,7.199999809,5.413000107,1.786999702,6.6872,5.608234414,12.48611165,2.226389044,2.961389317,16.60816548,0.75180559,0.225180075
Feng Shou Nu Shen,Hong Kong,3713,79.5,14.19999981,7,5.947999954,1.052000046,6.224240195,5.598591624,11.35714286,2.028571401,2.387357081,13.36583736,0.849714279,0.222878551
Championship,Panama,6618,112.5,18.20000076,8.399999619,6.464000225,1.935999394,6.6872,6.181318423,13.39285775,2.166666855,2.815594079,17.40408355,0.769523871,0.201295259
Fouesnant,Luxembourg,6902,102,18.20000076,8.5,6.710000038,1.789999962,7.098720098,5.60439537,12,2.14117656,2.712369696,15.20119216,0.789411769,0.224411683
Eastern Goodwill,Panama,8740,108.5,18.20000076,9.649999619,7.478000164,2.171999455,7.047279902,5.961538213,11.24352376,1.886010516,2.433805879,14.50922675,0.774922327,0.21600915
Panam Atlantico,Panama,14003,125,20.5,11.60000038,8.762999535,2.837000845,7.150159805,6.097560976,10.77586172,1.767241321,2.339381614,14.26452204,0.75543097,0.20418613
Kaiyu 21,Japan,1743,65.5,11.51799965,5.349999905,4.699999809,0.650000096,6.1728,5.686751345,12.24299087,2.152897169,2.450638323,13.93617078,0.878504653,0.243515748
Front Melody,Germany,150500,262,45.59999847,24,17.12199974,6.87800026,7.510240195,5.745614228,10.91666667,1.899999936,2.663240227,15.30195094,0.713416656,0.148138751
Front Symphony,Germany,150500,262,45.59999847,24,17.12199974,6.87800026,7.510240195,5.745614228,10.91666667,1.899999936,2.663240227,15.30195094,0.713416656,0.148138751
Samho Jewelry,Korea (South),19924,137,23.72999954,13.35000038,9.715000153,3.635000227,7.355920098,5.773282876,10.26217199,1.777528005,2.442614428,14.10190405,0.727715347,0.20065141
Gaz Century,Panama,5782,106,18,8.899999619,7.013999939,1.88599968,7.561679902,5.888888889,11.91011287,2.022471997,2.566296002,15.11263201,0.788089915,0.234493524
Gas Spirit,Marshall Islands,3409,93.68000031,17.5,7.5,5.449999809,2.050000191,7.4588,5.353142875,12.49066671,2.333333333,3.211009287,17.18899148,0.726666641,0.246043002
Gas Cathar,Malta,7124,112,18.84000015,8.800000191,6.758999825,2.041000366,7.716,5.944798254,12.72727245,2.140909061,2.787394679,16.57049902,0.768068145,0.232781629
Emiland,Panama,7166,112,18.84000015,8.800000191,6.758999825,2.041000366,7.716,5.944798254,12.72727245,2.140909061,2.787394679,16.57049902,0.768068145,0.232781629
Kakuho Maru,Japan,4999,97.5,16,8.550000191,6.333000183,2.217000008,7.2016,6.09375,11.40350852,1.871344987,2.526448687,15.39554669,0.740701759,0.232858547
Taiko Maru,Japan,2118,72.55000305,12,5.099999905,4.580999851,0.519000054,6.6872,6.045833588,14.22549106,2.35294122,2.619515475,15.83715464,0.898235282,0.250663495
Hozen Maru,Japan,4992,97.5,15.80000019,8.5,6.335999966,2.164000034,6.995840195,6.170886002,11.47058824,1.858823552,2.493686912,15.38825766,0.745411761,0.226205452
Seabass,Germany,32480,169,28.15999985,16.79999924,11,5.79999924,7.2016,6.001420487,10.05952426,1.676190543,2.559999986,15.36363636,0.654761934,0.176868763
Sc Venus,Hong Kong,3557,83,14.61999989,7,5.711999893,1.288000107,6.6872,5.677154625,11.85714286,2.088571413,2.559523838,14.5308126,0.815999985,0.234353132
Hoei,Panama,8756,107,18.20000076,9.649999619,7.513000011,2.136999608,6.6872,5.879120634,11.08808334,1.886010516,2.42246782,14.24198055,0.778549255,0.20640391
Kyoei Maru No. 7,Japan,5529,98.5,16,8,6.449999809,1.550000191,7.2016,6.15625,12.3125,2,2.480620228,15.27131828,0.806249976,0.231673509
Nittan Maru No. 21,Japan,4999,97,16,7.699999809,6.480000019,1.21999979,7.664559805,6.0625,12.59740291,2.077922129,2.469135795,14.96913576,0.841558465,0.24846593
Hassho Maru No. 1,Japan,4808,97,15.19999981,7.5,6.309000015,1.190999985,7.2016,6.381579027,12.93333333,2.026666641,2.409256582,15.37486127,0.841200002,0.233457927
Naniwa Maru No. 21,Japan,2386,66.69999695,13.30000019,6.650000095,5.111999989,1.538000106,6.43,5.015037293,10.03007459,2,2.601721483,13.04773026,0.768721792,0.251370068
Star Dream,Panama,11666,110.6500015,20,11.19999981,8.81400013,2.38599968,6.9444,5.532500075,9.879464587,1.785714316,2.26911728,12.55389152,0.786964311,0.210777628
Lady Shana,Singapore,3856,89.90000153,16.02799988,7.199999809,5.413000107,1.786999702,6.6872,5.608934502,12.48611165,2.226111153,2.961019687,16.60816548,0.75180559,0.225180075
Lin I,Panama,4004,83,13.60000038,6.699999809,5.897999763,0.802000046,6.1728,6.102941006,12.38806005,2.029850861,2.305866552,14.07256754,0.880298497,0.216325968
Shoreki,Panama,2309,74,13.19999981,6.400000095,5.013000011,1.387000084,6.1728,5.606060687,11.56249983,2.06249994,2.633153756,14.76161976,0.78328124,0.229103563
Kyokuryu Maru,Japan,4889,98,15.62300014,8.149999619,6.230999947,1.918999672,7.304479902,6.272802863,12.02454044,1.916932622,2.507302242,15.72781268,0.764539907,0.235581811
Eiho Maru No. 8,Japan,1206,61.79999924,10,4.5,4.210000038,0.289999962,5.452640195,6.179999924,13.73333316,2.222222222,2.375296891,14.6793346,0.935555564,0.221451233
Oriental Salvia,Panama,5807,93.90000153,16.52000046,8.5,6.664000034,1.835999966,6.9444,5.684019305,11.047059,1.943529466,2.478991653,14.09063641,0.784000004,0.228806009
Hozan Maru,Japan,1900,66,12,5.199999809,4.754000187,0.445999622,6.1728,5.5,12.69230816,2.307692392,2.524190056,13.88304531,0.914230839,0.242591586
Asli-S,Turkey,1115,54.40000153,9.600000381,4.5,3.839999914,0.660000086,6.1728,5.666666601,12.08888923,2.133333418,2.500000155,14.16666738,0.853333314,0.267207255
Bora,Hong Kong,39768,180,28,16.79999924,11.97700024,4.822999,6.9444,6.428571429,10.7142862,1.666666742,2.337814097,15.02880491,0.712916713,0.165258563
Gaschem Hunte,Liberia,6050,108.4000015,17.20000076,9.5,6.75,2.75,7.4588,6.30232539,11.41052647,1.810526396,2.548148261,16.05925948,0.710526316,0.228728254
Palu Sipat/Pertamina 1025,Indonesia,17957,154,26.79999924,11.5,7,4.5,6.6872,5.74626882,13.39130435,2.330434717,3.82857132,22,0.608695652,0.172047929
Mustafa Okan,Turkey,2610,71.47000122,11,6.420000076,5.440000057,0.980000019,6.1728,6.497272838,11.13239881,1.713395618,2.022058802,13.13786773,0.847352024,0.233123367
Al Jasra,Japan,72218,280,45.75,25.5,11.25,14.25,10.0308,6.120218579,10.98039216,1.794117647,4.066666667,24.88888889,0.441176471,0.191391238
Stolt Fulmar,Germany,5698,91.22000122,16.31399918,8.031999588,6.578000069,1.453999519,6.6872,5.591516845,11.35707245,2.0311255,2.480084982,13.86743695,0.818974154,0.223544903
Stolt Sun,Liberia,22460,152.871994,23.70000076,13.35000038,10.10000038,3.25,7.818879902,6.450294899,11.45108537,1.775280905,2.34653464,15.13584042,0.756554314,0.201904535
Hyundai Cosmopia,Panama,77591,274,48.29000092,26.5,12.02000046,14.47999954,10.44231961,5.674052491,10.33962264,1.822264186,4.017470805,22.79534023,0.453584923,0.20141286
Bellini,Germany,3046,89.54000092,12.5,6.349999905,4.650000095,1.69999981,6.6872,7.163200074,14.10078776,1.968503966,2.688171988,19.25591378,0.73228349,0.225632295
K. Acacia,Panama,75768,266,43.40000153,26,12.02000046,13.97999954,10.5452,6.129032042,10.23076923,1.669230828,3.610648908,22.12978285,0.46230771,0.206433178
Sk Supreme,Panama,75319,266,42.59999847,26,12.02200031,13.97799969,10.69951961,6.24413168,10.23076923,1.63846148,3.543503358,22.12610158,0.462384627,0.209454144
Chaleur Bay,Cayman Islands,71345,220,32.20000076,20.09000015,14.11999989,5.97000026,7.716,6.832297975,10.95072167,1.602787482,2.280453329,15.58073667,0.702837222,0.166091105
Golar Mazo,Liberia,76210,276,46.93999863,25.5,11.67500019,13.82499981,10.18511961,5.879846784,10.82352941,1.84078426,4.020556562,23.64025657,0.457843145,0.195738875
Maersk Rapier,United Kingdom,34985,162,27.42000008,17.32799911,11.81499958,5.51299953,7.9732,5.908096263,9.349030951,1.582410058,2.32077876,13.71138432,0.681844424,0.200004905
Ocean Quest,Virgin Islands (British),34999,162,27.42700005,17.32799911,11.79699993,5.53099918,7.4588,5.906588388,9.349030951,1.582814027,2.324913132,13.7323049,0.680805663,0.187101363
Maersk Rouen,Liberia,34860,162,27.42700005,17.32799911,11.81499958,5.51299953,7.4588,5.906588388,9.349030951,1.582814027,2.321371225,13.71138432,0.681844424,0.187101363
Stolt Spray,Liberia,22460,154.1000061,23.71999931,13.35000038,10.89999962,2.45000076,7.818879902,6.496627765,11.54307129,1.776778924,2.176146802,14.13761573,0.816479349,0.201098444
Stolt Surf,Netherlands,22201,154.1000061,23.71999931,13.35000038,10.11600018,3.2340002,7.818879902,6.496627765,11.54307129,1.776778924,2.344800206,15.23329412,0.757752801,0.201098444
Bow Century,Norway,37438,176.8999939,32.20000076,14,10.71800041,3.28199959,7.9732,5.493788501,12.63571385,2.300000054,3.004291801,16.50494375,0.765571458,0.191396612
Stolt Stream,Liberia,22199,154.1000061,23.71999931,13.35000038,10.11600018,3.2340002,7.818879902,6.496627765,11.54307129,1.776778924,2.344800206,15.23329412,0.757752801,0.201098444
Astrakhan,Russia,19996,148.6000061,24.5,13.39999962,9.770000458,3.629999162,7.921759805,6.065306371,11.08955301,1.828358261,2.507676443,15.20982591,0.729104532,0.207480723
Magas,Russia,19996,147.1999969,24.5,13.39999962,9.770000458,3.629999162,7.921759805,6.008163139,10.98507471,1.828358261,2.507676443,15.06652917,0.729104532,0.208465056
Marinoula,Malta,44990,174,32.20000076,17.60000038,12.01900005,5.58100033,7.561679902,5.403726581,9.886363423,1.829545458,2.679091491,14.4770779,0.682897715,0.183024471
Nounou,Liberia,44990,174,32.20999908,17.60499954,12.01900005,5.58599949,7.561679902,5.402049207,9.883556066,1.829593861,2.679923367,14.4770779,0.682703798,0.183024471
Iran Semnan,Iran,159681,264,48.0379982,23.20000076,17.02199936,6.1780014,7.716,5.495649484,11.37930997,2.070603303,2.822112561,15.50934144,0.733706845,0.151619741
Iran Saveh,Iran,159758,264,48.0379982,23.20000076,17.02199936,6.1780014,7.818879902,5.495649484,11.37930997,2.070603303,2.822112561,15.50934144,0.733706845,0.153641336
Iran Sarvestan,Iran,159711,264,48,23.20000076,17.02000046,6.1800003,7.716,5.5,11.37930997,2.068965449,2.82021144,15.51116292,0.733620685,0.151619741
Bunga Melati 6,Malaysia,31980,168,30.28000069,15.19999981,10.39999962,4.80000019,7.664559805,5.548216518,11.05263172,1.992105333,2.911538634,16.15384674,0.68421051,0.188798297
Bunga Melati 7,Malaysia,31972,168,30,15.19999981,10.39999962,4.80000019,7.613120098,5.6,11.05263172,1.973684235,2.88461549,16.15384674,0.68421051,0.187531202
Front Scilla,Marshall Islands,302561,320,60,29.29999924,20.87800026,8.42199898,8.2304,5.333333333,10.92150199,2.047781623,2.873838454,15.32713842,0.712559754,0.1468965
Front Tina,Germany,298824,320,60,29.29999924,20.89999962,8.39999962,8.2304,5.333333333,10.92150199,2.047781623,2.870813449,15.31100506,0.713310586,0.1468965
Mct Arcturus,Liberia,19990,141,23.79999924,12.64999962,9.199999809,3.449999811,7.716,5.924369937,11.14624539,1.881422921,2.586956493,15.32608727,0.727272734,0.207466585
Ds Power,Germany,109354,233,42,22,15.44999981,6.55000019,8.076079902,5.547619048,10.59090909,1.909090909,2.718446635,15.08090633,0.702272719,0.16892275
Mozart,Germany,3048,89.54000092,12.5,6.349999905,4.650000095,1.69999981,6.6872,7.163200074,14.10078776,1.968503966,2.688171988,19.25591378,0.73228349,0.225632295
Donizetti,Belgium,3614,95.26999664,12.5,6.349999905,4.650000095,1.69999981,6.6872,7.621599731,15.0031493,1.968503966,2.688171988,20.4881709,0.73228349,0.218741776
Regulus Voyager,Liberia,310106,318,58,31.25,22.5,8.75,8.2304,5.482758621,10.176,1.856,2.577777778,14.13333333,0.72,0.147357715
Caspian Mariner,Malta,6600,123.1999969,16.77000046,6.800000191,4.980000019,1.820000172,5.144,7.346451611,18.11764609,2.466176469,3.367469959,24.73895511,0.732352923,0.147965719
Marmara Mariner,Malta,6620,123.1999969,16.77000046,6.800000191,5.019000053,1.781000138,5.144,7.346451611,18.11764609,2.466176469,3.341303105,24.54672158,0.738088222,0.147965719
Isabel Knutsen,Gibraltar,22377,149.7899933,23.02400017,13.53999996,10.30000019,3.23999977,7.9732,6.505819675,11.0627765,1.700443149,2.235339781,14.54271753,0.760709027,0.207996848
Hanjin Ras Laffan,Panama,75079,268.5,43.0359993,26.20000076,12.02000046,14.1800003,10.44231961,6.23896283,10.24809131,1.642595345,3.580365861,22.33776953,0.45877863,0.203465291
Hanjin Sur,Panama,75193,268.5,43,22.07999992,12.02000046,10.05999946,10.44231961,6.244186047,12.16032613,1.947463775,3.577370911,22.33776953,0.544384081,0.203465291
Djanet,Virgin Islands (British),54584,219.6999969,36,19.39999962,11.68999958,7.71000004,8.641919609,6.102777692,11.32474233,1.855670139,3.079555286,18.7938413,0.60257731,0.186148994
Eleousa Trikoukiotisa,Malta,4509,90.16999817,15,7.75,6.300000191,1.449999809,6.9444,6.011333211,11.63483847,1.935483871,2.380952309,14.31269769,0.81290325,0.233490489
Trans Catalonia,Singapore,19733,141.3300018,23.5,13,10.07499981,2.92500019,8.127520098,6.01404263,10.8715386,1.807692308,2.332506247,14.02779201,0.774999985,0.218276191
Angistri,Liberia,76002,202.8999939,37.0340004,18.89999962,14.0170002,4.88299942,7.921759805,5.478749034,10.73544963,1.95947096,2.642077468,14.47527938,0.741640237,0.177560414
Front Commodore,Germany,298620,320,60,29.54999924,21.12999916,8.42000008,8.2304,5.333333333,10.82910349,2.030456905,2.839564713,15.14434514,0.715059212,0.1468965
Tenzan,Panama,281050,319,60.03699875,28.79999924,20.40099907,8.39900017,8.333280391,5.313390187,11.07638918,2.084618067,2.942846012,15.63648912,0.708368042,0.148965655
Navigator Venus,Isle of Man,23484,160.9900055,24.20000076,16.70000076,11.05000019,5.65000057,7.9732,6.652479357,9.640119651,1.449101776,2.19004528,14.56923102,0.661676628,0.200631304
Navigator Saturn,Isle of Man,23495,160.6600037,24.20000076,16.70000076,11.05000019,5.65000057,7.9732,6.63884292,9.620359065,1.449101776,2.19004528,14.5393666,0.661676628,0.200837251
Navigator Pluto,Isle of Man,23484,160.6600037,24.20000076,16.70000076,11.05000019,5.65000057,8.4876,6.63884292,9.620359065,1.449101776,2.19004528,14.5393666,0.661676628,0.213794493
Navigator Neptune,Isle of Man,23495,160.9900055,24.20000076,16.70000076,11.05000019,5.65000057,8.4876,6.652479357,9.640119651,1.449101776,2.19004528,14.56923102,0.661676628,0.21357526
Takasuzu,Panama,279989,319,60,28.79999924,20.34000015,8.45999909,8.333280391,5.316666667,11.07638918,2.083333388,2.949852486,15.68338238,0.706250024,0.148965655
Sinar Emas,Singapore,18010,150.8600006,27.02000046,11.69999981,7,4.69999981,6.6872,5.583271578,12.89401735,2.309401786,3.860000066,21.55142866,0.598290608,0.17382921
Maersk Holyhead,Venezuela,23272,151,26,16.29999924,10.53199959,5.76799965,7.716,5.807692308,9.263804113,1.595092099,2.468667016,14.33725844,0.646134974,0.200479164
Hyundai Aquapia,Panama,77564,274,48.29000092,26.5,12.02000046,14.47999954,10.44231961,5.674052491,10.33962264,1.822264186,4.017470805,22.79534023,0.453584923,0.20141286
Los Roques,Cayman Islands,61130,220,32.23500061,20.09700012,12.57199955,7.52500057,7.716,6.82487966,10.94690743,1.603970763,2.564031321,17.49920521,0.625565979,0.166091105
Nysa,Singapore,299543,320,58,31,22,9,7.870320098,5.517241379,10.32258065,1.870967742,2.636363636,14.54545455,0.709677419,0.14046978
Sonangol Girassol,Bahamas,159057,264,48,23.20000076,17.02000046,6.1800003,7.818879902,5.5,11.37930997,2.068965449,2.82021144,15.51116292,0.733620685,0.153641336
Patris,Greece,298543,320,58.04399872,31,22.02300072,8.97699928,7.870320098,5.51305918,10.32258065,1.872387055,2.635608083,14.53026334,0.710419378,0.14046978
British Progress,United Kingdom,306397,320,58,31.25,22.52000046,8.72999954,7.716,5.517241379,10.24,1.856,2.575488402,14.20959118,0.720640015,0.137715469
British Purpose,United Kingdom,306307,320,58.04299927,31.25,22.52000046,8.72999954,7.716,5.51315411,10.24,1.857375977,2.577397783,14.20959118,0.720640015,0.137715469
Sk Splendor,Panama,75154,266,42.59999847,26,12.02200031,13.97799969,10.44231961,6.24413168,10.23076923,1.63846148,3.543503358,22.12610158,0.462384627,0.204419188
Sk Stellar,Panama,75154,266,42.59999847,26,11.80000019,14.19999981,10.69951961,6.24413168,10.23076923,1.63846148,3.610169304,22.54237252,0.453846161,0.209454144
British Pride,United Kingdom,305994,321.0499878,58.04000092,31.25,22.52000046,8.72999954,7.716,5.531529681,10.27359961,1.857280029,2.577264642,14.25621586,0.720640015,0.137490087
Kuban,Liberia,106562,233,42.02999878,20.70000076,14.75199986,5.9480009,7.561679902,5.543659452,11.25603823,2.030434649,2.84910515,15.7944687,0.712656972,0.158163339
Ubud,Panama,279999,316.6000061,60,28.89999962,20.4109993,8.48900032,8.281840195,5.276666768,10.95501766,2.076124595,2.939591498,15.51124477,0.706262961,0.148606184
Jorunn Knutsen,Norway,123011,256.5,42.5,22,15.64999962,6.35000038,7.9732,6.035294118,11.65909091,1.931818182,2.715655018,16.38977676,0.711363619,0.158947781
Ellen Maersk,Denmark,308491,316.8500061,58.04999924,31,22.70000076,8.29999924,8.436159805,5.458225844,10.22096794,1.872580621,2.557268603,13.95814958,0.732258089,0.151315506
Else Maersk,Denmark,308491,320,58.04999924,31,22.70000076,8.29999924,8.436159805,5.512489306,10.32258065,1.872580621,2.557268603,14.09691583,0.732258089,0.15056891
Ulan,Panama,299325,320,58,31,22.02300072,8.97699928,7.870320098,5.517241379,10.32258065,1.870967742,2.63361023,14.53026334,0.710419378,0.14046978
Namur,Belgium,298552,320,60,29.54999924,21.31999969,8.22999955,7.9732,5.333333333,10.82910349,2.030456905,2.814258953,15.00938108,0.72148901,0.142305985
Lucky Trader,Malta,298677,320,60,29.54999924,21.12999916,8.42000008,7.9732,5.333333333,10.82910349,2.030456905,2.839564713,15.14434514,0.715059212,0.142305985
C. Dream,Hong Kong,298570,320,60,29.54999924,21.12999916,8.42000008,7.9732,5.333333333,10.82910349,2.030456905,2.839564713,15.14434514,0.715059212,0.142305985
Chemtrans Ray,Liberia,71637,217,32.25999832,20.20000076,14.01799965,6.18200111,7.716,6.726596755,10.74257385,1.59702956,2.301326803,15.4800974,0.693960353,0.167235259
St. Petri,Liberia,47228,172,32.20000076,19.10000038,12.66699982,6.43300056,7.716,5.341614781,9.005235423,1.685863881,2.542038464,13.57859023,0.663193695,0.187842341
Hyundai Oceanpia,Panama,77000,274,48.20000076,26.5,12,14.5,10.44231961,5.684647213,10.33962264,1.818867953,4.01666673,22.83333333,0.452830189,0.20141286
Ataulfo Alves,Luxembourg,152980,258,46,24.39999962,17.52099991,6.87899971,7.716,5.608695652,10.57377066,1.885245931,2.625420937,14.72518699,0.718073778,0.153372629
Hellas Constellation,Panama,46162,174,32.20000076,18.20000076,12.22000027,5.98000049,7.716,5.403726581,9.560439161,1.769230737,2.635024554,14.23895222,0.671428558,0.186759667
Hellas Symphony,Greece,46145,174,32.20000076,18.20000076,12.22000027,5.98000049,7.304479902,5.403726581,9.560439161,1.769230737,2.635024554,14.23895222,0.671428558,0.176799149
Rhonestern,Germany,21871,155,27.18000031,12,8.800000191,3.199999809,7.716,5.702722525,12.91666667,2.265000026,3.088636332,17.61363598,0.733333349,0.197875428
Themsestern,Germany,21871,155.8699951,27.18000031,12,8.5,3.5,7.716,5.734731174,12.98916626,2.265000026,3.197647095,18.33764648,0.708333333,0.19732243
Ural,Panama,279999,316.6000061,60,28.89999962,20.4109993,8.48900032,8.333280391,5.276666768,10.95501766,2.076124595,2.939591498,15.51124477,0.706262961,0.149529208
Maritime Jewel,Liberia,299364,320.2799988,58.04399872,31,22.02300072,8.97699928,7.716,5.517883086,10.33161286,1.872387055,2.635608083,14.54297727,0.710419378,0.137655258
Kwk Esteem,Singapore,105342,235.7700043,42.34000015,21,14.81700039,6.18299961,7.613120098,5.568493233,11.22714306,2.016190483,2.857528449,15.91212783,0.705571447,0.158301089
Seafaith II,Malta,110000,233,42,22.20000076,13.34500027,8.85500049,7.4588,5.547619048,10.49549514,1.891891827,3.147246096,17.45972239,0.601126118,0.156011459
Team Jupiter,Liberia,48338,174,32.20000076,17.79999924,12.67199993,5.12799931,7.355920098,5.403726581,9.775281316,1.808988884,2.541035428,13.73106068,0.711910139,0.178044218
Team Neptun,Liberia,48330,174,32.20000076,17.79999924,12.67199993,5.12799931,7.355920098,5.403726581,9.775281316,1.808988884,2.541035428,13.73106068,0.711910139,0.178044218
Chemtrans Sky,Liberia,63381,219,32.20000076,18.5,12.80000019,5.69999981,7.4588,6.801242075,11.83783784,1.740540582,2.515625022,17.10937475,0.691891902,0.160920881
Chemtrans Star,Liberia,63331,219,32.20000076,18.5,12.80000019,5.69999981,7.716,6.801242075,11.83783784,1.740540582,2.515625022,17.10937475,0.691891902,0.166469877
Genmar Spyridon,Marshall Islands,159959,264,48,23.10000038,17.06999969,6.03000069,8.076079902,5.5,11.42857124,2.077922044,2.811950842,15.46572963,0.738961013,0.158695328
Genmar Argus,Marshall Islands,159901,264,48.04000092,23.10000038,16.22999954,6.87000084,8.076079902,5.495420378,11.42857124,2.079653685,2.959950849,16.26617421,0.702597371,0.158695328
Chemstar Duke,Panama,19441,141,24.21999931,12.80000019,9.229999542,3.570000648,7.561679902,5.821635178,11.01562484,1.892187418,2.62405206,15.27627378,0.721093704,0.203317251
Chemstar Eagle,Panama,19362,141,24.20000076,12.80000019,9.229999542,3.570000648,7.561679902,5.826446098,11.01562484,1.890625031,2.62188537,15.27627378,0.721093704,0.203317251
Latana,Norway,15990,132.1999969,22,11.5,8.800000191,2.699999809,7.4588,6.009090768,11.4956519,1.913043478,2.499999946,15.02272659,0.765217408,0.207118426
K. Freesia,Panama,77022,266,43.40000153,21.26000023,12.02000046,9.23999977,10.5452,6.129032042,12.51175904,2.041392336,3.610648908,22.12978285,0.565381013,0.206433178
Surya Satsuma,Japan,12493,143.5,28.02400017,16,7.059999943,8.940000057,8.4876,5.120610874,8.96875,1.751500011,3.969405155,20.3257792,0.441249996,0.226216589
Aurora,Barbados,24668,161,28,13,9.699999809,3.300000191,7.716,5.75,12.38461538,2.153846154,2.886597995,16.59793847,0.746153831,0.1941533
Euro Atlantica,United Kingdom,16631,128.8300018,20.42399979,12.14999962,9.347000122,2.802999498,7.4588,6.307775319,10.60329266,1.68098769,2.185086073,13.783032,0.769300446,0.209809888
Iran Abadan,Iran,99144,238,43.02999878,19.79999924,13.52099991,6.27899933,7.818879902,5.531025023,12.02020248,2.173232345,3.18245685,17.60224847,0.68287881,0.161816037
Iran Astara,Iran,99087,238,43.0320015,19.79999924,13.52000046,6.27999878,7.818879902,5.530767608,12.02020248,2.173333493,3.182840239,17.6035497,0.682828332,0.161816037
Iran Astaneh,Iran,99144,238,43.0320015,19.79999924,13.52000046,6.27999878,7.818879902,5.530767608,12.02020248,2.173333493,3.182840239,17.6035497,0.682828332,0.161816037
Iran Abadeh,Iran,99030,238,43.0320015,19.79999924,13.5,6.29999924,7.921759805,5.530767608,12.02020248,2.173333493,3.187555667,17.62962963,0.681818208,0.163945193
Iran Amol,Iran,99144,238,43.0320015,19.79999924,13.52000046,6.27999878,7.716,5.530767608,12.02020248,2.173333493,3.182840239,17.6035497,0.682828332,0.15968688
Syn Zaura,Italy,4175,86,15.5,8,6.5,1.5,7.4588,5.548387097,10.75,1.9375,2.384615385,13.23076923,0.8125,0.256794213
Max Jacob,Liberia,157300,264,48,23.20000076,16.8220005,6.37800026,7.664559805,5.5,11.37930997,2.068965449,2.853406169,15.69373393,0.725086205,0.150608939
Four Schooner,Germany,73083,219,32.24000168,20.20000076,14.02000046,6.1800003,7.716,6.792803616,10.84158375,1.596039627,2.299572084,15.62054157,0.694059403,0.166469877
Bunga Kenanga,Singapore,73083,219,32.24000168,20.20000076,14.02000046,6.1800003,7.716,6.792803616,10.84158375,1.596039627,2.299572084,15.62054157,0.694059403,0.166469877
Johann Jacob,Cayman Islands,72500,219,32.24000168,20.20000076,12.19999981,8.00000095,7.716,6.792803616,10.84158375,1.596039627,2.64262313,17.95081995,0.603960364,0.166469877
