HULL NO.,SHIP'S NAME,COMPANY,COUNTRY,DWT DATE,CLASS,DIMENSIONS (LBP×B×D×d),LBP,B,D,d,MAIN ENGINE,SPEED (KT),DELIVERY
,SAMPURNA SWARAJYA,SHIPPING CORPORATION OF INDIA,INDIA,30000,BV,165.00/25.87/17.50/10.60M,,,,,HYUNDAI-B&W 5S50MC(VI),14,99. 01. 12
,HELLAS FOS,CONSOLIDATED MARINE MANAGEMENT INC.,GREECE,46000,ABS,174.00/32.20/18.20/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.5,99. 03. 24
,HELLAS SERENITY,CONSOLIDATED MARINE MANAGEMENT INC.,GREECE,46000,ABS,174.00/32.20/18.20/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.5,99. 05. 24
,HELLAS RENAISSANCE,CONSOLIDATED MARINE MANAGEMENT INC.,GREECE,46000,ABS,174.00/32.20/18.20/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.5,99. 06. 15
,SANTIAGO,FLOTA PETROLERA ECUATORIANA,ECUADOR,45000,ABS,174.00/32.20/18.00/12.00M,,,,,HYUNDAI-B&W 6S50MC,14.5,99. 08. 12
,ZAMORA,FLOTA PETROLERA ECUATORIANA,ECUADOR,45000,ABS,174.00/32.20/18.00/12.00M,,,,,HYUNDAI-B&W 6S50MC,14.5,99. 09. 30
,HELLAS ENDURANCE,CONSOLIDATED MARINE MANAGEMENT INC.,GREECE,46000,ABS,174.00/32.20/18.20/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.5,99. 10. 12
,HELLAS PROGRESS,CONSOLIDATED MARINE MANAGEMENT INC.,GREECE,46000,ABS,174.00/32.20/18.20/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.5,99. 11. 26
,HELLAS CONSTELLATION,CONSOLIDATED MARINE MANAGEMENT INC.,GREECE,46000,ABS,174.00/32.20/18.20/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.5,00. 01. 31
,HELLAS SYMPHONY,CONSOLIDATED MARINE MANAGEMENT INC.,GREECE,46000,ABS,174.00/32.20/18.20/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.5,00. 04. 11
,TORM GUDRUN,A/S DAMPSKIBSSELSKABET TORM,DENMARK,100000,DNV,234.00/42.00/21.00/14.30M,,,,,HYUNDAI-B&W 6S60MC,14.4,00. 05. 16
,PRIMORYE,PRIMORSK SHIPPING CORPORATION,RUSSIA,105000,DNV,234.00/42.00/21.00/14.90M,,,,,HYUNDAI-B&W 6S60MC-C,15.5,00. 07. 20
,AGATHONISSOS,ELETSON CORPORATION,GREECE,105000,LR,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C,15.1,02. 05. 13
,MAKRONISSOS,ELETSON CORPORATION,GREECE,105000,LR,234.00/42.00/21.00/13.60M,,,,,HYUNDAI-B&W 6S60MC-C,15.1,02. 08. 14
,ERIKOUSSA,ELETSON CORPORATION,GREECE,70000,LR,219.00/32.20/20.40/12.20M,,,,,HYUNDAI-B&W 6S60MC-C,15.5,03. 03. 04
,SKOPELOS,ELETSON CORPORATION,GREECE,70000,LR,219.00/32.20/20.40/12.20M,,,,,HYUNDAI-B&W 6S60MC-C,15.5,03. 05. 13
,ENERGY CENTURY,ENTERPRISES SHIPPING,GREECE,70000,DNV,219.00/32.20/20.40/12.20M,,,,,HYUNDAI-B&W 6S60MC-C,15.5,03. 07. 25
